Participant_Index,Archetype_Label,Cluster
0,Active/Attentive Learner,0
1,Disengaged/Passive/Artifact,2
2,Active/Attentive Learner,0
3,Active/Attentive Learner,0
4,Active/Attentive Learner,0
5,Emotionally Reactive/Expressive,1
6,Active/Attentive Learner,0
7,Active/Attentive Learner,0
8,Active/Attentive Learner,0
9,Emotionally Reactive/Expressive,1
10,Active/Attentive Learner,0
11,Active/Attentive Learner,0
12,Active/Attentive Learner,0
13,Active/Attentive Learner,0
14,Active/Attentive Learner,0
15,Active/Attentive Learner,0
16,Active/Attentive Learner,0
17,Active/Attentive Learner,0
18,Active/Attentive Learner,0
19,Active/Attentive Learner,0
20,Emotionally Reactive/Expressive,1
21,Active/Attentive Learner,0
22,Active/Attentive Learner,0
23,Active/Attentive Learner,0
24,Active/Attentive Learner,0
25,Active/Attentive Learner,0
26,Active/Attentive Learner,0
27,Emotionally Reactive/Expressive,1
28,Active/Attentive Learner,0
29,Active/Attentive Learner,0
30,Emotionally Reactive/Expressive,1
31,Active/Attentive Learner,0
32,Active/Attentive Learner,0
33,Active/Attentive Learner,0
34,Emotionally Reactive/Expressive,1
35,Active/Attentive Learner,0
36,Active/Attentive Learner,0
37,Active/Attentive Learner,0
